,Customer,Service_Repair
0,1563876974037,0
1,1563345053790,0
2,1564046340927,0
3,1563976424210,0
4,1563989812140,0
5,1564053486870,0
6,1563927115608,0
7,1563976424210,0
8,1563345053790,0
9,1563989812140,0
10,1563927115608,0
11,1564053486870,0
12,1564046340927,0
13,1563976536131,0
14,1563876974037,0
15,1563976536131,0
16,1563976424210,0
17,1563345053790,0
18,1564046340927,0
19,1563989812140,0
20,1563927115608,0
21,1563876974037,0
22,1330685268077,0
23,1330014548345,0
24,1330571416477,0
25,1330436899572,0
26,1330436899572,0
27,1330685268077,0
28,1330571416477,0
29,1330014548345,0
30,1330602354130,1
31,1330602354130,0
32,1330685268077,0
33,1330436899572,0
34,1330014548345,0
35,1330571416477,0
36,1563931599129,0
37,1563345266256,0
38,1563889471237,0
39,1563886127778,0
40,1563931599129,0
41,1563345266256,0
42,1563886127778,0
43,1563889471237,0
44,1564063702614,0
45,1563927341258,0
46,1564045616627,0
47,1564064565630,0
48,1563826728263,0
49,1563348930231,0
50,1564045616627,0
51,1563348930231,0
52,1563927341258,0
53,1564064565630,0
54,1563826728263,0
55,1564063702614,0
56,1563826728263,0
57,1563348930231,0
58,1564045616627,0
59,1564063702614,0
60,1563927341258,0
61,1564064565630,0
62,1564039518899,0
63,1563333875383,0
64,1563860995573,0
65,1563852373596,0
66,1563333875383,0
67,1564039518899,0
68,1563860995573,0
69,1563852373596,0
70,1564004107162,0
71,1563986893515,0
72,1563932695740,0
73,1563986893515,0
74,1563932695740,0
75,1564004107162,0
76,1564004107162,0
77,1563986893515,0
78,1563344696930,0
79,1564057495583,0
80,1564013777946,0
81,1563982229131,0
82,1564000565290,0
83,1563939547352,0
84,1563349469248,0
85,1564058869653,1
86,1564050656758,0
87,1564057495583,0
88,1563344696930,0
89,1563939547352,0
90,1563982229131,0
91,1564058869653,0
92,1564050656758,0
93,1564041377717,0
94,1330002807081,0
95,1330705464004,0
96,1330432703574,1
97,1330705464004,0
98,1330692332078,0
99,1330432703574,0
100,1330542763232,0
101,1330014134960,0
102,1330447115676,0
103,1330014447617,0
104,1330569352718,0
105,1330569352718,0
106,1330014134960,0
107,1330014447617,0
108,1330447115676,0
109,1330447115676,0
110,1330014447617,0
111,1330014134960,0
112,1330569352718,0
113,1563347979405,0
114,1564047005222,0
115,1564026031213,0
116,1564047005222,0
117,1564026031213,0
118,1564026031213,0
119,1564047005222,0
120,1564009128479,0
121,1563356862533,0
122,1564038820201,0
123,1563974109646,0
124,1563356862533,0
125,1564009128479,0
126,1564009128479,0
127,1330727535085,0
128,1330015407968,0
129,1330015407968,0
130,1330727535085,0
131,1564060683887,0
132,1563346949581,0
133,1563881995536,0
134,1563898842688,0
135,1563898842688,0
136,1564060683887,0
137,1563346949581,0
138,1563881995536,0
139,1563346949581,0
140,1563881995536,0
141,1563898842688,0
142,1563898842688,0
143,1563881995536,0
144,1563346949581,0
145,724030875465,0
146,724041452628,0
147,723985508890,0
148,724067657609,0
149,724028139594,0
150,724026537686,0
151,724028139594,0
152,723985508890,0
153,724041452628,0
154,724067657609,0
155,724026537686,0
156,724030875465,0
157,724041452628,0
158,724030875465,0
159,724028139594,0
160,724026537686,0
161,723985508890,0
162,724026537686,0
163,724030875465,0
164,724041452628,0
165,723985508890,0
166,724028139594,0
167,1330017900640,0
168,1330004145544,0
169,1330017900640,0
170,1330004145544,0
171,1330673452101,0
172,1330017900640,0
173,1330004145544,0
174,1330673452101,0
175,1330695102863,0
176,1330007214498,0
177,1330011083487,0
178,1330016642164,0
179,1330016642164,0
180,1330011083487,0
181,1330007214498,0
182,1330695102863,0
183,1564042144865,0
184,1564046277535,0
185,1563344920701,0
186,1564044335998,0
187,1564046277535,0
188,1564044335998,0
189,1563344920701,0
190,1564042144865,0
191,1564042144865,0
192,1564044335998,0
193,1564046277535,0
194,1563344920701,0
195,1563791890901,0
196,1563962439683,0
197,1563784013302,0
198,1564066945119,0
199,1563352082100,0
200,1563916759125,0
201,1563962439683,0
202,1564066945119,0
203,1563791890901,0
204,1563352082100,0
205,1563916759125,0
206,1563784013302,0
207,1330017315984,0
208,1330012552150,0
209,1330017315984,0
210,1330012552150,0
211,1330017315984,0
212,1330012552150,0
213,1330012552150,0
214,1330017315984,0
215,1330012552150,0
216,1330017315984,0
217,1563344710874,0
218,1564037767047,0
219,1563873425489,0
220,1564047988286,0
221,1563844264399,0
222,1564028094815,0
223,1563344660791,0
224,1564052865431,0
225,1564008635604,0
226,1564028094815,0
227,1564008635604,0
228,1564052865431,0
229,1563344660791,0
230,1563340871640,0
231,1564005160209,0
232,1564030018119,0
233,1563346724352,0
234,1563340871640,0
235,1563346724352,0
236,1564030018119,0
237,1564005160209,0
238,1330012767780,0
239,1330001476890,0
240,1330684625050,0
241,1330012767780,0
242,1330684625050,0
243,1330001476890,0
244,1563338206761,0
245,1563341803639,0
246,1563341803639,0
247,1563338206761,0
248,1563338206761,0
